period_start(min),period_end(min),electricity consumption(kwh)
0,15,0.00125
15,30,0.00125
30,45,0.00125
45,60,0.0175
60,75,0.02
75,90,0.02
90,105,0.02
105,120,0.02
120,135,0.02
135,150,0.02
150,165,0.02
165,180,0.02
180,195,0.02
195,210,0.02
210,225,0.02
225,240,0.02
240,255,0.045
255,270,0.045
270,285,0.03875
285,300,0.03875
300,315,0.03875
315,330,0.02125
330,345,0.00125
345,360,0.00125
360,375,0.00125
375,390,0.00125
390,405,0.00125
405,420,0.00125
420,435,0.00125
435,450,0.00125
450,465,0.00125
465,480,0.00125
480,495,0.017916666666666668
495,510,0.25125
510,525,0.25125
525,540,0.25125
540,555,0.21791666666666668
555,570,0.00125
570,585,0.00125
585,600,0.00125
600,615,0.00125
615,630,0.0075
630,645,0.05333333333333334
645,660,0.07
660,675,0.22
675,690,0.25333333333333335
690,705,0.07
705,720,0.085
720,735,0.2075
735,750,0.2325
750,765,0.17416666666666666
765,780,0.19916666666666666
780,795,0.395
795,810,0.13833333333333334
810,825,0.095
825,840,0.16166666666666665
840,855,0.345
855,870,0.3258333333333333
870,885,0.13875
885,900,0.03875
900,915,0.03875
915,930,0.05375
930,945,0.035
945,960,0.02
960,975,0.056666666666666664
975,990,0.07
990,1005,0.07
1005,1020,0.07
1020,1035,0.07
1035,1050,0.07
1050,1065,0.07
1065,1080,0.075
1080,1095,0.1075
1095,1110,0.1075
1110,1125,0.1075
1125,1140,0.3908333333333333
1140,1155,0.36583333333333334
1155,1170,0.18333333333333332
1170,1185,0.0975
1185,1200,0.3441666666666667
1200,1215,0.3575
1215,1230,0.33
1230,1245,0.32
1245,1260,0.10333333333333333
1260,1275,0.07
1275,1290,0.0875
1290,1305,0.1075
1305,1320,0.1075
1320,1335,0.1
1335,1350,0.07
1350,1365,0.07
1365,1380,0.07
1380,1395,0.06125
1395,1410,0.05875
1410,1425,0.09833333333333333
1425,1440,0.145
